序号,代码,名称,行业,最新价,涨跌幅pct,盈利阶段,近两年财务摘要,最新年报年份,营业收入最新,营收同比pct,归母净利最新,归母净利上年,净利同比pct,上年报年份,上年营业收入,主营产品,合作方,业务简介,总股本亿股,总市值亿元,流通市值亿元,股东户数,户数变动,户数变动pct,股东日期,前十大持股pct,持股集中度,换手率pct,量比,近5日均量,前5日均量,五日量能放大,近10日均量,前10日均量,十日量能放大,年内最低,年内最高,年内均价,现价比年内均价,现价比年内低点,年内价格分位pct,筛选理由
11,003001,中岩大地,专业工程,17.49,-9.98,盈利阶段,2025年营业收入6.16亿元，同比增长-21.82%；归母净利润1382.91万元，上年为6241.30万元（同比-77.84%）,2025,6.16亿元,-21.82,1382.91万元,6241.30万元,-77.84,2024,7.88亿元,岩土工程(89.6%)；产品销售(7.8%)；技术服务及其他(1.6%)；环境修复(0.9%),是以岩土技术为核心竞争力的科技,"北京中岩大地科技股份有限公司创立于2008年12月19日,并于2020年10月13日在深交所中小板上市,成功登陆A股资本市场,股票代码003001,是以岩土技术为核心竞争力的科技型上市企业。中岩大地秉承“悦人达己、创新卓越”的企业理念,坚守“以科技为依托,为客户提供优质岩土解决方案”的使命,通过岩土工程、环境修复、新材料等业务板块的服务工作,致力于打造全球知",1.75,30.53,20,17456,-112,-0.64,2026-03-31,55.6,较集中,19.89,1.09,26346320,20009120,1.32,23177720,7936814,2.92,12.6,37.18,21.11,0.83,1.39,19.89,10日量能放大2.92倍；换手19.89%；低于/贴近年内均价；年内分位20%
12,001328,登康口腔,个护用品,32.03,-0.16,盈利阶段,2025年营业收入17.16亿元，同比增长9.98%；归母净利润1.81亿元，上年为1.61亿元（同比12.35%）,2025,17.16亿元,9.98,1.81亿元,1.61亿元,12.35,2024,15.60亿元,成人牙膏(80.4%)；成人牙刷(10.2%)；儿童牙膏(4.6%)；口腔医疗与美容护理产品(2.1%)；儿童牙刷(1.7%),年通过股份,"重庆登康口腔护理用品股份有限公司(以下简称“登康口腔”或“公司”,股票代码001328)前身为重庆牙膏厂,其发展历史可追溯到1939年的大来化学制胰厂。公司于2001年通过股份制改造新设成立,目前已发展成为中国具有影响力的专业口腔护理企业。2023年4月,登康口腔在深圳证券交易所挂牌上市,是全面注册制下首批主板上市企业之一,也是当年首家A股上市渝企。登康口腔",1.72,55.15,51.8,9864,-3,-0.03,2026-03-31,79.19,非常集中,1.83,1.22,3054477,2088227,1.46,2571352,1227296,2.1,24.3,46.8,36.31,0.88,1.32,34.36,10日量能放大2.10倍；低于/贴近年内均价；年内分位34%
13,603926,铁流股份,汽车零部件,14.39,-5.39,盈利阶段,2025年营业收入23.82亿元，同比增长-0.77%；归母净利润7747.51万元，上年为1.03亿元（同比-24.86%）,2025,23.82亿元,-0.77,7747.51万元,1.03亿元,-24.86,2024,24.00亿元,汽车传动系统制造板块(54.7%)；商用车全车件供应链智慧服务板块(37.5%)；高精密零部件制造板块(6.0%)；其他(补充)(1.8%),车零部件智能制造及智慧服务为一体的全球性集团、是浙江奥思伟尔电动科技有限公司,"铁流股份有限公司(铁流股份:603926)成立于2009年(前身为成立于1985年的西湖离合器厂),于2017年在上海证券交易所主板上市,是一家集汽车零部件智能制造及智慧服务为一体的全球性集团公司。公司主营三大板块:1、汽车传动系统制造板块;2、新能源汽车高精密零部件制造板块;3、汽车智慧服务板块。公司致力于“智能化”和“信息化”建设,成立国家级实验室,通过",2.33,33.53,33.22,11490,568,5.2,2026-03-31,58.37,非常集中,2.27,0.71,9230971,4857778,1.9,7044375,5789745,1.22,11.48,28.2,18.02,0.8,1.25,17.4,5日量能放大1.90倍；低于/贴近年内均价；年内分位17%
14,603048,浙江黎明,汽车零部件,17.3,-3.19,盈利阶段,2025年营业收入7.27亿元，同比增长12.75%；归母净利润3115.60万元，上年为5336.29万元（同比-41.61%）,2025,7.27亿元,12.75,3115.60万元,5336.29万元,-41.61,2024,6.45亿元,装配件(37.5%)；精锻件(27.1%)；冲压件(24.3%)；其他件(9.8%)；其他(补充)(1.2%),吉利集团,"浙江黎明智造股份有限公司地处中国浙江舟山群岛新区,创始于1997年。浙江黎明是目前国内领先的专业生产气门锁夹、气门弹簧座、气门桥、活塞冷却喷嘴等汽车零部件的国家高新技术企业。气门锁夹、气门弹簧座、气门桥、活塞冷却喷嘴等系列产品常年保持国内市场占用率前列。浙江黎明秉持“以人品铸精品,以奋斗者为本,以客户为中心,现地现物解决问题”的价值观,坚持“产品零缺陷、客户",1.47,25.41,25.41,11421,1235,12.12,2026-03-31,74.79,非常集中,1.03,0.66,2883960,1878900,1.53,2381430,1500995,1.59,14.83,25.96,20.72,0.83,1.17,22.19,5日量能放大1.53倍；10日量能放大1.59倍；低于/贴近年内均价；接近年内低点；年内分位22%
15,001239,永达股份,工程机械,10.85,-1.72,盈利阶段,2025年营业收入20.40亿元，同比增长140.13%；归母净利润4753.37万元，上年为7908.01万元（同比-39.89%）,2025,20.40亿元,140.13,4753.37万元,7908.01万元,-39.89,2024,8.49亿元,金属锻件产品(69.1%)；金属结构件产品(22.2%)；其他(补充)(8.3%)；受托加工(0.4%),湘潭永达机械制造股份有限公司、与中国铁建重工集团、金风科技、明阳智慧能源集团、东方电气集团、湘电股份、江苏中车电机有限公司、国电联合动力技术有限公司,"湘潭永达机械制造股份有限公司创立于2005年7月。地处湖南省湘潭市九华工业园—国家级经济开发区,毗邻沪昆、京珠、岳临、长潭西线等高速公路,靠近湘江高新区湘江水运码头,临近湘潭北、株洲西、长沙南高铁站,距长沙黄花国际机场50公里。 主要产品涉及风力发电装备、隧道掘进装备、超大型塔机、大型挖机、大型电驱动自卸车等领域。 公司拥有三维CAD/CAD、PDM、CAP",2.4,26.04,12.37,17457,-396,-2.22,2026-03-31,65.96,较集中,3.39,1.24,3947343,2375918,1.66,3161631,2536629,1.25,10.73,21.07,15.82,0.69,1.01,1.16,5日量能放大1.66倍；换手3.39%；低于/贴近年内均价；接近年内低点；年内分位1%
16,603709,中源家居,家居用品,10.11,-2.32,减亏阶段,2025年营业收入16.23亿元，同比增长1.32%；归母净利润-2825.42万元，上年为-4173.90万元（同比32.31%）,2025,16.23亿元,1.32,-2825.42万元,-4173.90万元,32.31,2024,16.02亿元,功能沙发(68.3%)；固定沙发(25.6%)；其他(5.1%)；其他(补充)(1.0%),,"中源家居股份有限公司(股票代码:603709)成立于2001,是一家专注于功能性沙发设计、制造与销售的国际化企业。公司于2018年2月在上海证券交易所主板上市,产品远销美洲、欧洲、亚洲、非洲等多个地区,致力于为全球家庭提供高品质家居解决方案。面对复杂多变的全球市场环境,中源家居积极推进战略转型,以“韧性增长,智领未来”为发展主题,持续优化业务结构、提升品牌价",1.63,16.5,16.44,7862,-5002,-38.88,2026-03-31,73.54,非常集中,2.27,1.29,3584703,2780482,1.29,3182593,2072878,1.54,9.21,26.22,16.13,0.63,1.1,5.29,10日量能放大1.54倍；低于/贴近年内均价；接近年内低点；年内分位5%
17,603383,顶点软件,软件开发,30.4,2.88,盈利阶段,2025年营业收入5.82亿元，同比增长-12.38%；归母净利润1.78亿元，上年为1.94亿元（同比-8.14%）,2025,5.82亿元,-12.38,1.78亿元,1.94亿元,-8.14,2024,6.64亿元,软件开发及服务业务(99.1%)；系统集成(0.9%),已成为金融科技,"福建顶点软件股份有限公司成立于1996年,2017年在上海证券交易所主板上市(603383.SH)。自成立以来,顶点软件始终聚焦金融科技领域,坚持基础技术研究、持续的技术创新,已成为金融科技领域的技术变革引领者。在内存数据库、分布式交易中间件、低延时技术、大数据开发、低代码开发等基础技术研发有着深厚的积累,并取得了LiveDTP分布式交易平台、LiveBOS",2.05,62.43,62.43,28675,368,1.3,2026-03-31,49.81,较分散,3.49,1.32,6792088,4178574,1.63,5485331,3531019,1.55,25.18,49.27,35.88,0.85,1.21,21.67,5日量能放大1.63倍；10日量能放大1.55倍；换手3.49%；低于/贴近年内均价；接近年内低点；年内分位22%
18,002869,金溢科技,计算机设备,15.26,-2.62,转亏阶段,2025年营业收入4.64亿元，同比增长-22.15%；归母净利润-1.30亿元，上年为7875.48万元（同比-264.55%）,2025,4.64亿元,-22.15,-1.30亿元,7875.48万元,-264.55,2024,5.96亿元,智能终端(46.1%)；智能路侧(31.0%)；汽车电子(20.6%)；其他(2.3%),,"深圳市金溢科技股份有限公司于2004年5月20日在深圳注册成立,2017年5月在深交所中小板挂牌上市,股票代码002869。公司是最早一批从事智慧交通技术研发及产业化的领军企业,也是国家级专精特新小巨人企业和国家级制造业单项冠军企业。历经十余年的发展,金溢科技已成为集C-V2X、DSRC、RFID三大技术领先的智慧交通解决方案及产品提供商,业务涵盖汽车电子、",1.77,27,24.04,26570,847,3.29,2026-03-31,40.36,较集中,2.39,1.01,4711712,3382569,1.39,4047141,2100640,1.93,13.15,33.55,23.59,0.65,1.16,10.34,10日量能放大1.93倍；低于/贴近年内均价；接近年内低点；年内分位10%
19,603284,林平发展,造纸,39.18,-2.17,盈利阶段,2025年营业收入26.66亿元，同比增长7.26%；归母净利润1.85亿元，上年为1.53亿元（同比21.22%）,2025,26.66亿元,7.26,1.85亿元,1.53亿元,21.22,2024,24.85亿元,原纸(99.3%)；其他(补充)(0.7%),安徽林平循环发展股份有限公司,"安徽林平循环发展股份有限公司主要从事包装用瓦楞纸、箱板纸产品的研发、生产和销售,是一家具有自主研发及创新能力的高新技术企业;经过多年发展,公司已成长为集废纸利用、热电联产、绿色造纸于一体的资源综合利用企业。在发展经济的同时,公司积极履行社会责任。林平发展自成立以来持续推进""绿色制造+循环经济""双轮驱动发展战略,持续完善以资源高效利用和环境友好为导向的运营体系",0.75,29.55,7.24,20653,-16848,-44.93,2026-03-31,76.23,较集中,7.51,0.83,2087255,1809566,1.15,1948410,1126209,1.73,35.25,75.13,45.25,0.87,1.11,9.85,10日量能放大1.73倍；换手7.51%；低于/贴近年内均价；接近年内低点；年内分位10%
20,001318,阳光乳业,饮料乳品,10.75,-3.15,盈利阶段,2025年营业收入4.77亿元，同比增长-8.15%；归母净利润1.04亿元，上年为1.15亿元（同比-8.81%）,2025,4.77亿元,-8.15,1.04亿元,1.15亿元,-8.81,2024,5.19亿元,低温乳制品(79.6%)；常温乳制品(11.7%)；常温乳饮料(6.3%)；低温乳饮料(2.2%)；乳粉(0.2%),中国乳业科技、公司注重科技、国家科技、年收购江西省嘉牧生态农业科技开发有限公司、年江西第一家利用高科技、在江西畜牧业唯一荣获省市科技,"江西阳光乳业股份有限公司始创于1956年,是一家集乳制品、乳饮料研发、生产、销售以及牧草种植、奶牛养殖于一体的专业化、高科技的全产业链现代化乳品企业,一、二、三产业高度融合,同步发展。在国内乳制品低温入户配送领域内具有重要影响力和地位,并于2022年成功登陆深交所主板上市,股票代码001318。阳光乳业一直专注乳制品的研发、生产和销售,见证了江西第一瓶鲜奶诞",2.83,30.39,30.39,22136,-25,-0.11,2026-03-31,72.45,较集中,4.88,3.42,5072784,5282436,0.96,5177610,2515932,2.06,9.5,18.14,13.86,0.78,1.13,14.47,10日量能放大2.06倍；换手4.88%；低于/贴近年内均价；接近年内低点；年内分位14%
21,605155,西大门,家居用品,12.81,-0.54,盈利阶段,2025年营业收入8.82亿元，同比增长7.98%；归母净利润1.12亿元，上年为1.22亿元（同比-8.66%）,2025,8.82亿元,7.98,1.12亿元,1.22亿元,-8.66,2024,8.17亿元,遮阳成品(52.4%)；遮阳面料(44.6%)；其他(1.8%)；其他(补充)(1.3%),,"浙江西大门新材料股份有限公司,位于文化底蕴深厚的书法圣地——绍兴兰亭,成立于1997年,是一家集产品研发、设计、生产和销售于一体的多元化发展的上市公司。2020年,公司在上海证券交易所主板上市,股票代码:605155。经过近三十年的开拓与发展,西大门立足卓越品质与诚信经营,逐步发展成为一个涵盖遮阳面料、遮阳成品、家居三大核心业务板块的综合型企业。基于强大的自",1.91,24.41,23.93,10483,708,7.24,2026-03-31,64.88,非常集中,1.44,0.62,5445712,5371805,1.01,5408758,2577190,2.1,11.15,21.78,15.74,0.81,1.15,15.62,10日量能放大2.10倍；低于/贴近年内均价；接近年内低点；年内分位16%
22,603200,上海洗霸,环境治理,36.41,0.3,盈利阶段,2025年营业收入5.03亿元，同比增长-1.41%；归母净利润8996.31万元，上年为4295.41万元（同比109.44%）,2025,5.03亿元,-1.41,8996.31万元,4295.41万元,109.44,2024,5.10亿元,化学品销售与服务(39.8%)；水处理系统运行管理(26.8%)；设备销售与安装(26.1%)；新能源先进材料(2.6%)；其他产品服务(2.5%),,"上海洗霸科技股份有限公司(股票简称“上海洗霸”,股票代码603200)创始于1992年7月8日,成立于1994年7月4日。2017年6月1日在上交所主板上市,是提供水处理特种化学品、过程化学品与新能源领域固态电池和氢电混动动力关键核心材料,数据中心空液冷系统装备、全自动智能控制在线加药保障系统整体解决方案服务的主板上市公司,总部位于上海市虹口区中山北一路12",1.75,63.89,63.89,41869,2318,5.86,2026-03-31,55.49,较分散,6.07,2.61,5123362,3897320,1.31,4510341,3412486,1.32,30.85,110.5,68.29,0.53,1.18,6.98,换手6.07%；低于/贴近年内均价；接近年内低点；年内分位7%
23,600980,北矿科技,专用设备,17.75,-0.28,盈利阶段,2025年营业收入13.07亿元，同比增长10.03%；归母净利润1.25亿元，上年为1.06亿元（同比17.71%）,2025,13.07亿元,10.03,1.25亿元,1.06亿元,17.71,2024,11.88亿元,矿冶装备(76.6%)；磁性材料(23.2%)；其他(补充)(0.2%),国内大中型资源开发企业和海外知名矿山企业,"北矿科技股份有限公司原名北矿磁材科技股份有限公司,2000年9月6日成立,2004年5月12日在上海证券交易所上市,股票代码600980。2016年6月14日更名为北矿科技股份有限公司。北矿科技股份有限公司是国家发展改革委、科技部、财政部、海关总署、国家税务总局联合认定的国家企业技术中心。公司控股股东矿冶科技集团有限公司是国务院国资委直属的大型中央企业。公司",1.93,34.3,33.59,31042,-3201,-9.35,2026-03-31,51.44,较分散,1.62,0.89,4329378,2746215,1.58,3537796,3204642,1.1,15.25,30.47,22.87,0.78,1.16,16.43,5日量能放大1.58倍；低于/贴近年内均价；接近年内低点；年内分位16%
24,600241,时代万恒,电池,6.84,-3.8,转亏阶段,2025年营业收入3.83亿元，同比增长-4.39%；归母净利润-1.32亿元，上年为1938.29万元（同比-780.07%）,2025,3.83亿元,-4.39,-1.32亿元,1938.29万元,-780.07,2024,4.01亿元,锂电池(63.2%)；镍氢电池(34.9%)；其他(补充)(1.5%)；其他(0.4%),斯蒂尔、松下、宝时得,"辽宁时代万恒股份有限公司前身为辽宁省服装进出口公司。主营出口各种服装、服装面料、服饰品和其它梭织、针织制品,年均进出口额2亿美元左右,连续十余年进入全国进出口500强企业。 公司在积极开展对外贸易的同时,还投资于服装加工、面料印染和房地产等业务。主要服装、面料产品销往欧洲、美洲、日本、东南亚等60多个国家和地区,与世界300多个客户建立了长期稳定的合作关系。",2.94,20.13,20.13,17166,1439,9.15,2026-03-31,60.81,较集中,4.61,1.78,9568144,6066004,1.58,7817074,8952423,0.87,5.87,10.48,8.49,0.81,1.17,21.04,5日量能放大1.58倍；换手4.61%；低于/贴近年内均价；接近年内低点；年内分位21%
25,002866,传艺科技,消费电子,14.81,1.37,扭亏阶段,2025年营业收入21.46亿元，同比增长9.76%；归母净利润8584.08万元，上年为-7347.41万元（同比216.83%）,2025,21.46亿元,9.76,8584.08万元,-7347.41万元,216.83,2024,19.55亿元,笔记本及台式机电脑键盘等输入设备及配件(66.3%)；笔记本电脑触控板及按键(Button/Touchpad)(23.6%)；笔记本电脑等消费电子产品所用柔性印刷线路板(FPC)(7.3%)；其他(2.0%)；新能源电池系统及其材料(0.8%),Thinkpad、Lenovo、惠普、华为、SAMSUNG、小米、富士康等,"江苏传艺科技股份有限公司创建于2007年11月,2017年4月在深交所A股发行上市(代码:002866),是国家高新技术企业、国家级专精特新""小巨人""企业、国家级服务型制造示范企业、国家知识产权示范企业。公司主要产品有5G用高频电路板、人机交互输入设备(键盘、鼠标等),75%的产品出口美日韩等国,为联想惠普、戴尔、华硕四大品牌笔记本电脑提供键盘配套。主要产品",2.9,42.88,26.84,41222,4387,11.91,2026-03-31,53.1,较分散,8.56,1.39,14074668,17287644,0.81,15681156,6430937,2.44,13.3,30,19.29,0.77,1.11,9.04,10日量能放大2.44倍；换手8.56%；低于/贴近年内均价；接近年内低点；年内分位9%
